PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
08187,1067348,9.747344,-0.326722,0.503686,0.022749,0.029391,-0.019507,-0.287678,-0.330585,0.392221,-21.733306,-85.755457,21.679232
08188,1067448,9.802521,-0.283037,0.560855,0.010862,0.024852,-0.016080,-0.287245,-0.335720,0.394966,-21.529277,-85.746161,21.480397
08189,1067548,9.827282,-0.207611,0.635063,0.012785,0.024580,-0.014061,-0.285749,-0.335245,0.394992,-21.340234,-85.736539,21.297687
08190,1067648,9.812812,-0.242660,0.644398,0.005205,0.034987,-0.017324,-0.282832,-0.338949,0.398314,-21.104298,-85.721989,21.063593
08191,1067748,9.843354,-0.325412,0.606270,-0.005907,0.050000,-0.022143,-0.285893,-0.338098,0.402362,-20.801285,-85.700313,20.755839
08192,1067848,9.805256,-0.300846,0.541687,-0.009136,0.065941,-0.026683,-0.286411,-0.338636,0.403336,-20.428801,-85.670874,20.376545
08193,1067948,9.844912,-0.350623,0.486462,-0.005294,0.070151,-0.029100,-0.287029,-0.343401,0.409105,-20.031387,-85.639467,19.974435
08194,1068048,9.839254,-0.312370,0.484664,0.009657,0.071920,-0.034066,-0.287581,-0.347998,0.411376,-19.591908,-85.607855,19.538703
08195,1068148,9.860927,-0.247546,0.526916,0.019468,0.079766,-0.038459,-0.291173,-0.349703,0.416796,-19.103379,-85.572574,19.059386
08196,1068248,9.854117,-0.217250,0.563151,0.032684,0.084927,-0.045753,-0.294245,-0.354332,0.420565,-18.552188,-85.535517,18.524781
08197,1068348,9.843374,-0.175649,0.566294,0.040101,0.083853,-0.051721,-0.296885,-0.360134,0.427782,-17.966856,-85.499712,17.960158
08198,1068448,9.847618,-0.195101,0.629112,0.044970,0.072271,-0.055535,-0.301463,-0.361798,0.432702,-17.386603,-85.470452,17.403397
08199,1068548,9.840814,-0.244344,0.682250,0.043792,0.069104,-0.058249,-0.301117,-0.369143,0.439844,-16.802310,-85.442942,16.841881
08200,1068648,9.781555,-0.275460,0.690951,0.033114,0.058462,-0.057437,-0.302257,-0.371481,0.447239,-16.257947,-85.420711,16.314262
08201,1068748,9.779909,-0.326056,0.709204,0.020224,0.050604,-0.056050,-0.303837,-0.378127,0.450907,-15.750916,-85.402205,15.816669
08202,1068848,9.757484,-0.263617,0.725520,0.013023,0.046316,-0.051120,-0.304982,-0.383455,0.458149,-15.293864,-85.384978,15.365067
08203,1068948,9.756943,-0.185904,0.715238,0.006416,0.043861,-0.048574,-0.308116,-0.387256,0.465468,-14.865851,-85.368453,14.938784
08204,1069048,9.794575,-0.062209,0.739280,0.006727,0.038724,-0.055497,-0.310237,-0.391523,0.471761,-14.402435,-85.355514,14.477147
08205,1069148,9.838518,-0.002242,0.760002,0.013090,0.037447,-0.063682,-0.312885,-0.396353,0.479529,-13.884188,-85.344113,13.964143
08206,1069248,9.863816,-0.014263,0.761748,0.012674,0.050864,-0.076013,-0.316033,-0.397712,0.487974,-13.262855,-85.326489,13.347454
08207,1069348,9.839183,-0.056363,0.700949,0.014333,0.060579,-0.089103,-0.318649,-0.400476,0.494344,-12.541329,-85.304530,12.631166
08208,1069448,9.788462,-0.227643,0.643775,0.018402,0.061742,-0.101204,-0.324301,-0.408770,0.502432,-11.740423,-85.282608,11.837540
