PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
04801,827077,9.860151,0.974267,0.500585,-0.012855,-0.002683,-0.016348,-0.261105,-0.040984,1.044844,58.137105,-83.493233,-57.970862
04802,827177,9.777026,0.998314,0.542313,-0.014810,-0.006874,-0.019637,-0.264582,-0.040406,1.044369,58.218649,-83.485198,-58.060622
04803,827277,9.738021,1.049048,0.540030,-0.014912,-0.017644,-0.020674,-0.272082,-0.045817,1.045086,58.348604,-83.479882,-58.199153
04804,827377,9.723092,0.989199,0.613252,-0.021444,-0.021967,-0.020608,-0.272553,-0.046235,1.043561,58.492887,-83.475857,-58.355873
04805,827477,9.713073,0.871532,0.565780,-0.025281,-0.014890,-0.017652,-0.276539,-0.046669,1.043535,58.596825,-83.471123,-58.474208
04806,827577,9.752479,0.827713,0.581793,-0.028731,-0.013601,-0.011886,-0.276045,-0.049169,1.043408,58.678114,-83.468805,-58.571755
04807,827677,9.870457,0.824475,0.586851,-0.029256,-0.002899,-0.008013,-0.279543,-0.050134,1.043856,58.703209,-83.465187,-58.613064
04808,827777,9.880118,0.843685,0.602483,-0.026784,0.009165,-0.008019,-0.277623,-0.049362,1.047906,58.678166,-83.457977,-58.602500
04809,827877,9.798977,0.848683,0.563414,-0.023161,0.009081,-0.004534,-0.282665,-0.051918,1.050776,58.646541,-83.452497,-58.583236
04810,827977,9.690744,0.878992,0.543303,-0.017875,-0.004433,-0.005349,-0.281154,-0.047932,1.050480,58.677677,-83.450647,-58.624103
04811,828077,9.691710,0.939211,0.604726,-0.008743,-0.015837,-0.007614,-0.283659,-0.050906,1.050826,58.768531,-83.451076,-58.719821
04812,828177,9.682692,0.987918,0.569174,-0.000211,-0.018042,-0.010245,-0.282225,-0.048109,1.054478,58.880497,-83.450848,-58.831865
04813,828277,9.702902,1.009005,0.498138,0.006252,-0.019908,-0.011220,-0.278230,-0.048148,1.053979,59.006657,-83.450667,-58.954457
04814,828377,9.744050,1.005999,0.462782,0.011021,-0.026757,-0.008363,-0.276667,-0.050968,1.049829,59.157587,-83.453873,-59.099220
04815,828477,9.764656,0.984973,0.489452,0.016170,-0.036532,-0.005540,-0.274547,-0.052656,1.042731,59.346438,-83.461284,-59.279174
04816,828577,9.766233,0.939892,0.541737,0.019991,-0.041853,-0.003865,-0.271469,-0.054456,1.037632,59.556604,-83.470999,-59.478379
04817,828677,9.743485,0.849454,0.551356,0.022182,-0.039273,-0.002267,-0.270458,-0.056416,1.036531,59.753415,-83.480678,-59.662890
04818,828777,9.723104,0.773937,0.574623,0.020448,-0.030886,-0.001135,-0.268311,-0.058031,1.027934,59.910499,-83.488440,-59.808438
04819,828877,9.685134,0.748779,0.541982,0.021834,-0.022877,0.000708,-0.265853,-0.061132,1.029281,60.029228,-83.494782,-59.914610
04820,828977,9.688156,0.733369,0.481157,0.030083,-0.025930,0.002244,-0.265193,-0.063696,1.020133,60.162368,-83.502735,-60.030553
04821,829077,9.735692,0.802056,0.462962,0.044902,-0.034727,0.006829,-0.265235,-0.066782,1.021980,60.331365,-83.515439,-60.174053
04822,829177,9.747027,0.916754,0.506854,0.053000,-0.043692,0.011838,-0.262739,-0.063832,1.022133,60.532590,-83.533121,-60.345317
04823,829277,9.741912,1.011113,0.545191,0.053619,-0.049751,0.013820,-0.260608,-0.069457,1.013831,60.757068,-83.553422,-60.539616
04824,829377,9.777158,1.110054,0.538669,0.045820,-0.051782,0.010195,-0.258133,-0.067552,1.014934,60.996382,-83.572385,-60.753315
