time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
427438,-0.122685,0.023707,-0.026024,0.979467551,0.040950306,0.188952347,-0.098548,-0.429099,0.332797,1016.549011
427538,-0.134958,0.017198,-0.019977,0.982748163,0.05339,0.190472245,-0.099078,-0.431156,0.334194,1016.549011
427638,-0.144181,0.005268,-0.013923,0.983917449,0.068552755,0.192806939,-0.099569,-0.432619,0.333618,1016.549011
427738,-0.148906,-0.008941,-0.013105,0.984539694,0.07189551,0.199194286,-0.100619,-0.436709,0.335913,1016.549011
427838,-0.142508,-0.016408,-0.016543,0.986830612,0.061770306,0.206960306,-0.102634,-0.438719,0.336811,1016.550781
427938,-0.134402,0.004726,-0.023235,0.989112449,0.045227755,0.208210816,-0.102229,-0.438968,0.341809,1016.550781
428038,-0.127693,0.039375,-0.032019,0.980924082,0.028474082,0.202199286,-0.105204,-0.441861,0.340656,1016.550781
428138,-0.1256,0.048107,-0.041049,0.967376531,0.018957143,0.181912857,-0.108729,-0.447359,0.341875,1016.550781
428238,-0.124173,0.034937,-0.038468,0.968021837,0.024084898,0.19077051,-0.107782,-0.444031,0.345052,1016.550781
428338,-0.121234,0.020173,-0.032754,0.974506735,0.036121122,0.201008469,-0.108806,-0.449046,0.345797,1016.550781
428438,-0.122296,-0.005294,-0.024535,0.978581837,0.044699184,0.208277653,-0.111346,-0.45112,0.348194,1016.550781
428538,-0.131176,-0.033266,-0.016033,0.983603265,0.050859592,0.222389184,-0.110864,-0.455138,0.34849,1016.550781
428638,-0.130026,-0.036288,-0.00986,0.98924398,0.046260306,0.22863398,-0.110944,-0.457822,0.352362,1016.550781
428738,-0.127979,-0.021956,-0.008669,0.987740306,0.040792755,0.221755816,-0.112465,-0.457372,0.353886,1016.550781
428838,-0.122864,0.002327,-0.010658,0.980626531,0.034377143,0.210117653,-0.114008,-0.458963,0.356309,1016.550781
428938,-0.114188,0.005563,-0.013458,0.974624898,0.032128571,0.200314694,-0.11608,-0.461615,0.36018,1016.550781
429038,-0.104376,0.001791,-0.015564,0.975105,0.034436327,0.204864184,-0.115143,-0.463769,0.363077,1016.550781
429138,-0.097773,-0.009467,-0.014387,0.979118367,0.03940602,0.204897347,-0.11569,-0.465376,0.3655,1016.550781
429238,-0.09006,-0.027172,-0.017281,0.982512245,0.03956449,0.214514592,-0.118758,-0.468012,0.36937,1016.550781
429338,-0.082781,-0.045393,-0.019457,0.984394082,0.032863265,0.224246122,-0.118357,-0.470752,0.374241,1016.550781
429438,-0.073013,-0.057617,-0.027598,0.984902143,0.02692102,0.236113878,-0.116933,-0.473436,0.377613,1016.55011
429538,-0.059709,-0.050132,-0.036116,0.985703878,0.02242949,0.243847347,-0.113526,-0.477171,0.381435,1016.55011
429638,-0.048915,-0.038009,-0.041055,0.981361224,0.026286224,0.239137449,-0.111107,-0.480867,0.384757,1016.55011
429738,-0.048489,-0.038334,-0.039332,0.975180102,0.028391939,0.226239184,-0.111679,-0.480553,0.38878,1016.55011
429838,-0.052023,-0.061474,-0.040689,0.969290306,0.032308673,0.215663571,-0.106792,-0.486828,0.392976,1016.55011
429938,-0.06386,-0.098315,-0.041232,0.971213163,0.030482347,0.215108367,-0.104406,-0.488129,0.398423,1016.55011
430038,-0.065398,-0.131477,-0.044204,0.970231939,0.020459082,0.221566531,-0.101548,-0.49397,0.404642,1016.55011
430138,-0.054348,-0.155568,-0.050235,0.970574694,0.007574694,0.229476224,-0.100662,-0.498735,0.409912,1016.55011
430238,-0.033634,-0.162635,-0.055829,0.977600102,0.006872143,0.229850714,-0.09582,-0.504133,0.416656,1016.55011
430338,-0.024323,-0.161583,-0.064768,0.983000816,0.022527857,0.223462551,-0.094944,-0.508922,0.422426,1016.55011
430438,-0.027929,-0.148578,-0.065918,0.981592347,0.02295102,0.215008163,-0.092581,-0.51326,0.428721,1016.55011
430538,-0.039728,-0.134578,-0.051983,0.984168163,0.050807653,0.202600306,-0.08982,-0.521335,0.439836,1016.55011
430638,-0.055499,-0.127167,-0.060919,0.98364898,0.044192755,0.201783571,-0.091957,-0.529612,0.446426,1016.55011
430738,-0.051299,-0.111112,-0.05169,0.986938265,0.040744082,0.204077551,-0.09357,-0.533863,0.45222,1016.55011
430838,-0.056567,-0.088345,-0.045613,0.99627898,0.026685816,0.192573367,-0.091708,-0.539689,0.458439,1016.55011
430938,-0.054785,-0.064204,-0.043717,0.972654592,0.020230102,0.19487051,-0.094835,-0.544463,0.465206,1016.55011
431038,-0.039257,-0.062424,-0.043383,0.971762143,0.022558571,0.193649796,-0.093473,-0.551276,0.471374,1016.55011
431138,-0.011595,-0.067153,-0.051287,0.973767347,0.028865612,0.205220714,-0.094074,-0.556491,0.476118,1016.55011
431238,0.019754,-0.072784,-0.058941,0.976266429,0.039024898,0.212131429,-0.09171,-0.560332,0.482439,1016.55011
431338,0.052182,-0.063012,-0.073261,0.978682143,0.042047755,0.214407143,-0.093372,-0.5657,0.490681,1016.55011
431438,0.078256,-0.05036,-0.08193,0.975954286,0.042057959,0.217542449,-0.092951,-0.567395,0.494603,1016.55011
431538,0.087602,-0.033456,-0.08503,0.971020816,0.037734796,0.213154082,-0.087617,-0.571331,0.501924,1016.55011
431638,0.080418,-0.017187,-0.077632,0.970775918,0.033224898,0.211272347,-0.085245,-0.575645,0.507719,1016.55011
431738,0.065957,-0.003252,-0.067025,0.971129388,0.031925102,0.206758061,-0.085806,-0.579768,0.510514,1016.55011
431838,0.046693,0.004283,-0.048143,0.973490408,0.032823776,0.202079082,-0.082954,-0.58364,0.517335,1016.55011
431938,0.031728,0.015224,-0.034788,0.978126122,0.037659694,0.203751531,-0.078083,-0.588468,0.522606,1016.55011
432038,0.022599,0.022167,-0.024415,0.981323673,0.045171429,0.207144694,-0.074168,-0.591191,0.525979,1016.55011
432138,0.029078,0.029889,-0.018933,0.983185918,0.054226939,0.209962041,-0.074244,-0.597338,0.529172,1016.55011
432238,0.040284,0.041253,-0.013764,0.983568367,0.063067041,0.212660102,-0.07231,-0.599009,0.532095,1016.55011
432338,0.061635,0.053866,-0.01031,0.981692959,0.068341327,0.212201122,-0.069833,-0.601563,0.532469,1016.55011
432438,0.077507,0.068483,-0.009274,0.982689694,0.071053061,0.210715816,-0.065845,-0.600132,0.532547,1016.55011
