time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
337908,-0.073253,0.119514,-0.042755,0.054180612,-0.941025102,0.22650102,0.291366,0.81067,-0.043472,1016.549011
338008,-0.066414,0.039876,-0.053819,0.015776224,-0.90129398,0.320100714,0.291367,0.811168,-0.043446,1016.549011
338108,-0.091859,0.057526,-0.117681,0.020570306,-0.876597959,0.390601837,0.291313,0.81202,-0.040397,1016.549011
338208,-0.154109,0.141079,-0.173765,0.048336735,-0.909807041,0.408026837,0.289287,0.813948,-0.038296,1016.549011
338308,-0.208254,0.205054,-0.179835,0.078780714,-0.941099286,0.391129592,0.290189,0.812695,-0.033349,1016.550781
338408,-0.222022,0.268811,-0.139267,0.11417,-0.970253265,0.350131939,0.288631,0.813547,-0.0298,1016.550781
338508,-0.219163,0.304424,-0.075809,0.136304184,-0.985275612,0.33626602,0.285684,0.811224,-0.032427,1016.550781
338608,-0.237939,0.317847,-0.007186,0.141497653,-0.979476429,0.324709796,0.285559,0.813876,-0.025277,1016.550781
338708,-0.25686,0.317077,0.049874,0.133411224,-0.963309898,0.324921735,0.285932,0.811064,-0.018907,1016.550781
338808,-0.278424,0.302108,0.078136,0.14607,-0.947122857,0.319124592,0.288407,0.812969,-0.017805,1016.550781
338908,-0.293686,0.271579,0.104641,0.149101633,-0.945451122,0.301124184,0.287846,0.808846,-0.015009,1016.550781
339008,-0.306807,0.214596,0.144086,0.14298449,-0.940174082,0.304936837,0.286787,0.80969,-0.01146,1016.550781
339108,-0.327527,0.142225,0.161251,0.125854184,-0.932702959,0.335856837,0.288714,0.80949,-0.007961,1016.550781
339208,-0.369146,0.128409,0.15809,0.114823061,-0.912600204,0.367735102,0.290123,0.808751,-0.003488,1016.550781
339308,-0.43095,0.158729,0.125735,0.100083469,-0.907879184,0.365999898,0.290027,0.806518,0.001409,1016.550781
339408,-0.535429,0.20919,0.105721,0.109374796,-0.911781429,0.355272653,0.289016,0.808976,0.002535,1016.550781
339508,-0.545885,0.210915,0.094726,0.082593265,-0.965888469,0.303464388,0.292854,0.804068,0.009805,1016.550781
339608,-0.507408,0.158325,0.086258,0.080038061,-0.968226327,0.285559184,0.29032,0.80598,0.012405,1016.550781
339708,-0.478584,0.144648,0.096828,0.094957347,-0.977210204,0.310364286,0.29167,0.803104,0.019775,1016.550781
339808,-0.526346,0.14108,0.1054,0.080197857,-0.966794898,0.319256327,0.291647,0.800564,0.020648,1016.550781
339908,-0.593279,0.112525,0.097147,0.060945918,-0.952997857,0.303193469,0.294543,0.800276,0.025647,1016.55011
340008,-0.609522,0.104566,0.078851,0.056471327,-0.950288469,0.280931327,0.296449,0.798533,0.03007,1016.55011
340108,-0.592052,0.110355,0.056694,0.062096429,-0.938874184,0.245950918,0.295343,0.799755,0.036143,1016.55011
340208,-0.551809,0.12113,0.04356,0.072763673,-0.973723776,0.230021939,0.295346,0.795793,0.03544,1016.55011
340308,-0.471827,0.115295,0.049896,0.079344388,-0.983766837,0.201265306,0.294739,0.797006,0.041514,1016.55011
340408,-0.366905,0.126363,0.083331,0.085353469,-0.986206327,0.192577245,0.296682,0.79536,0.043937,1016.55011
340508,-0.284364,0.15469,0.109108,0.086962347,-0.97684398,0.185829694,0.29807,0.793078,0.049334,1016.55011
340608,-0.205685,0.189767,0.118966,0.093127347,-0.966323776,0.160375612,0.296508,0.791439,0.052756,1016.55011
340708,-0.166341,0.155266,0.152048,0.061978163,-0.98333102,0.194970714,0.296474,0.793335,0.054856,1016.55011
340808,-0.18274,0.124864,0.204099,0.036036633,-0.963779592,0.237091531,0.299456,0.789302,0.054654,1016.55011
340908,-0.244905,0.119164,0.198885,0.014601531,-0.939570102,0.286976837,0.299448,0.790274,0.055205,1016.55011
341008,-0.329547,0.172791,0.173163,0.023075816,-0.94086949,0.306410918,0.302368,0.787567,0.058577,1016.55011
341108,-0.386398,0.263153,0.173822,0.033108571,-0.954606531,0.290711531,0.30125,0.786772,0.065049,1016.55011
341208,-0.403188,0.368944,0.193088,0.039766633,-0.952267245,0.275401122,0.3007,0.784168,0.067421,1016.55011
341308,-0.413121,0.503289,0.200566,0.045478163,-0.941628163,0.241508776,0.303621,0.782457,0.070844,1016.55011
341408,-0.384909,0.625247,0.21051,0.040374592,-0.935207041,0.187882653,0.302079,0.781862,0.073318,1016.55011
341508,-0.438473,0.587359,0.206149,0.03347051,-0.940008878,0.12422898,0.30194,0.781999,0.08084,1016.55011
341608,-0.401502,0.52436,0.214009,0.049318061,-0.973943776,0.113316531,0.306346,0.779742,0.084738,1016.55011
341708,-0.294982,0.459259,0.233842,0.060928061,-0.976888571,0.104399286,0.304737,0.777983,0.090659,1016.55011
341808,-0.162152,0.403489,0.244856,0.052303776,-0.96734051,0.124305714,0.30522,0.774961,0.091007,1016.55011
341908,-0.142482,0.349355,0.241312,0.030024592,-0.921503776,0.183015918,0.306144,0.775749,0.095056,1016.55011
