time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
1067348,0.022749,0.029391,-0.019507,0,-0.03333898,0.051396531,-0.287678,-0.330585,0.392221,1016.549011
1067448,0.010862,0.024852,-0.01608,0.06279052,-0.028881327,0.057230102,-0.287245,-0.33572,0.394966,1016.549011
1067548,0.012785,0.02458,-0.014061,0.125333234,-0.021184796,0.064802347,-0.285749,-0.335245,0.394992,1016.549011
1067648,0.005205,0.034987,-0.017324,0.187381315,-0.024761224,0.065754898,-0.282832,-0.338949,0.398314,1016.549011
1067748,-0.005907,0.05,-0.022143,0.248689887,-0.033205306,0.061864286,-0.285893,-0.338098,0.402362,1016.550781
1067848,-0.009136,0.065941,-0.026683,0.309016994,-0.030698571,0.055274184,-0.286411,-0.338636,0.403336,1016.550781
1067948,-0.005294,0.070151,-0.0291,0.368124553,-0.035777857,0.04963898,-0.287029,-0.343401,0.409105,1016.550781
1068048,0.009657,0.07192,-0.034066,0.425779292,-0.03187449,0.04945551,-0.287581,-0.347998,0.411376,1016.550781
1068148,0.019468,0.079766,-0.038459,0.481753674,-0.025259796,0.053766939,-0.291173,-0.349703,0.416796,1016.550781
1068248,0.032684,0.084927,-0.045753,0.535826795,-0.022168367,0.057464388,-0.294245,-0.354332,0.420565,1016.550781
1068348,0.040101,0.083853,-0.051721,0.587785252,-0.017923367,0.057785102,-0.296885,-0.360134,0.427782,1016.550781
1068448,0.04497,0.072271,-0.055535,0.63742399,-0.019908265,0.064195102,-0.301463,-0.361798,0.432702,1016.550781
1068548,0.043792,0.069104,-0.058249,0.684547106,-0.024933061,0.069617347,-0.301117,-0.369143,0.439844,1016.550781
1068648,0.033114,0.058462,-0.057437,0.728968627,-0.028108163,0.070505204,-0.302257,-0.371481,0.447239,1016.550781
1068748,0.020224,0.050604,-0.05605,0.770513243,-0.03327102,0.072367755,-0.303837,-0.378127,0.450907,1016.550781
1068848,0.013023,0.046316,-0.05112,0.809016994,-0.026899694,0.074032653,-0.304982,-0.383455,0.458149,1016.550781
1068948,0.006416,0.043861,-0.048574,0.844327926,-0.018969796,0.072983469,-0.308116,-0.387256,0.465468,1016.550781
1069048,0.006727,0.038724,-0.055497,0.87630668,-0.006347857,0.075436735,-0.310237,-0.391523,0.471761,1016.550781
1069148,0.01309,0.037447,-0.063682,0.904827052,-0.000228776,0.077551224,-0.312885,-0.396353,0.479529,1016.550781
1069248,0.012674,0.050864,-0.076013,0.929776486,-0.001455408,0.077729388,-0.316033,-0.397712,0.487974,1016.550781
1069348,0.014333,0.060579,-0.089103,0.951056516,-0.005751327,0.071525408,-0.318649,-0.400476,0.494344,1016.55011
1069448,0.018402,0.061742,-0.101204,0.968583161,-0.023228878,0.065691327,-0.324301,-0.40877,0.502432,1016.55011
1069548,0.023531,0.041007,-0.088757,0.982287251,-0.041251939,0.070471429,-0.328426,-0.409069,0.509928,1016.55011
1069648,0.018713,0.018724,-0.079589,0.992114701,-0.03102449,0.07671602,-0.328066,-0.413898,0.516696,1016.55011
1069748,0.010667,-0.001609,-0.073533,0.998026728,-0.020902143,0.084146429,-0.336236,-0.422225,0.526284,1016.55011
1069848,0.005529,-0.023253,-0.070706,1,-0.01327102,0.092228571,-0.336431,-0.42719,0.536051,1016.55011
1069948,0.015652,-0.019308,-0.074318,0.998026728,-0.006825408,0.093255918,-0.337574,-0.432019,0.543319,1016.55011
1070048,0.041779,-0.002544,-0.08099,0.992114701,-0.003948878,0.092748776,-0.337234,-0.437395,0.551062,1016.55011
1070148,0.049154,-0.008105,-0.090885,0.982287251,-0.00976449,0.088168061,-0.335894,-0.440794,0.558907,1016.55011
1070248,0.044335,-0.020923,-0.089469,0.968583161,-0.026520204,0.082205306,-0.336098,-0.446282,0.569149,1016.55011
1070348,0.036733,-0.029643,-0.093986,0.951056516,-0.037201531,0.08423602,-0.334745,-0.452621,0.575842,1016.55011
1070448,0.048213,-0.040882,-0.087836,0.929776486,-0.045382041,0.087230102,-0.334458,-0.456647,0.58666,1016.55011
1070548,0.062547,-0.069855,-0.076805,0.904827052,-0.039277551,0.093712857,-0.334208,-0.465727,0.598723,1016.55011
1070648,0.081149,-0.091391,-0.074645,0.87630668,-0.030357041,0.093566633,-0.332957,-0.472331,0.610914,1016.55011
1070748,0.087434,-0.099796,-0.078797,0.844327926,-0.014474082,0.092035,-0.335136,-0.478736,0.620105,1016.55011
1070848,0.100062,-0.099391,-0.086378,0.809016994,0.000520408,0.085326122,-0.332446,-0.48501,0.63532,1016.55011
1070948,0.107717,-0.097646,-0.103906,0.770513243,0.005148776,0.080993776,-0.334131,-0.487959,0.645189,1016.55011
1071048,0.109637,-0.098597,-0.120242,0.728968627,0.015424898,0.085205306,-0.332781,-0.495794,0.651805,1016.55011
1071148,0.106778,-0.102679,-0.125552,0.684547106,0.014111429,0.086697857,-0.335523,-0.501861,0.66452,1016.55011
1071248,0.097507,-0.114188,-0.123956,0.63742399,0.002240612,0.083586735,-0.33624,-0.505396,0.675863,1016.55011
1071348,0.093287,-0.120429,-0.121313,0.587785252,-0.00871,0.088811122,-0.338378,-0.508715,0.683207,1016.55011
1071448,0.100403,-0.118708,-0.115452,0.535826795,-0.010953163,0.092078878,-0.33865,-0.515867,0.696872,1016.55011
1071548,0.114465,-0.12044,-0.117495,0.481753674,-0.012577143,0.087990714,-0.344895,-0.520432,0.710661,1016.55011
1071648,0.128251,-0.11954,-0.122167,0.425779292,-0.012708469,0.086837245,-0.343607,-0.52694,0.720852,1016.55011
1071748,0.139117,-0.119627,-0.127224,0.368124553,-0.011691429,0.081873673,-0.347835,-0.532959,0.733067,1016.55011
1071848,0.14027,-0.11357,-0.128368,0.309016994,-0.008455204,0.081096735,-0.35015,-0.542691,0.749102,1016.55011
1071948,0.130123,-0.110906,-0.131519,0.248689887,0.005485102,0.073299592,-0.346868,-0.548234,0.759345,1016.55011
1072048,0.114099,-0.102693,-0.128044,0.187381315,0.020302959,0.073513571,-0.346116,-0.555329,0.77151,1016.55011
1072148,0.087235,-0.096812,-0.128192,0.125333234,0.02160551,0.070730204,-0.349787,-0.560215,0.780777,1016.55011
1072248,0.076402,-0.090322,-0.131759,0.06279052,0.022044898,0.060976429,-0.347492,-0.565719,0.79052,1016.55011
1072348,0.071109,-0.092929,-0.120981,1.2246E-16,0.021046429,0.072116837,-0.35218,-0.571634,0.800735,1016.55011
1072448,0.070744,-0.094837,-0.109015,-0.06279052,0.020012959,0.070428469,-0.357326,-0.575452,0.809052,1016.55011
1072548,0.068141,-0.095627,-0.105666,-0.125333234,0.014422449,0.067332245,-0.359012,-0.578899,0.818896,1016.55188
1072648,0.062587,-0.106315,-0.102971,-0.187381315,0.020014286,0.069286531,-0.358694,-0.586316,0.827537,1016.55188
1072748,0.057879,-0.111162,-0.095795,-0.248689887,0.031309694,0.070785612,-0.359842,-0.58818,0.835457,1016.55188
1072848,0.063119,-0.102192,-0.091753,-0.309016994,0.039723878,0.070132449,-0.359475,-0.59448,0.84165,1016.55188
1072948,0.059145,-0.08354,-0.090019,-0.368124553,0.040899592,0.064360612,-0.358088,-0.597757,0.846996,1016.55188
1073048,0.050592,-0.077606,-0.085409,-0.425779292,0.041926224,0.058504388,-0.355167,-0.59897,0.850444,1016.55188
1073148,0.039686,-0.073585,-0.080508,-0.481753674,0.040007449,0.057817041,-0.350714,-0.600608,0.851869,1016.55188
1073248,0.026198,-0.075629,-0.073617,-0.535826795,0.046925714,0.058472959,-0.34427,-0.602776,0.853269,1016.55188
1073348,0.017034,-0.083712,-0.06643,-0.587785252,0.049808571,0.059290204,-0.333267,-0.598868,0.851476,1016.55188
1073448,0.004219,-0.089867,-0.064708,-0.63742399,0.053315204,0.058900408,-0.324331,-0.600078,0.852928,1016.55188
1073548,-0.015102,-0.093154,-0.059088,-0.684547106,0.056220816,0.059206224,-0.303258,-0.593572,0.845767,1016.55188
1073648,-0.042155,-0.08987,-0.055923,-0.728968627,0.050211837,0.057202041,-0.282681,-0.590522,0.837929,1016.55188
1073748,-0.06091,-0.088226,-0.046419,-0.770513243,0.054628776,0.048877041,-0.260593,-0.582987,0.82982,1016.55188
1073848,-0.077951,-0.091653,-0.039453,-0.809016994,0.053613469,0.041633776,-0.247915,-0.576652,0.818633,1016.55188
1073948,-0.099872,-0.094049,-0.031836,-0.844327926,0.05003949,0.039888367,-0.240303,-0.565994,0.812672,1016.55188
1074048,-0.113276,-0.093794,-0.027019,-0.87630668,0.045262551,0.043408878,-0.236704,-0.560304,0.807454,1016.55188
1074148,-0.119708,-0.088266,-0.02371,-0.904827052,0.039247857,0.043065306,-0.242486,-0.549289,0.79849,1016.55188
1074248,-0.122551,-0.088645,-0.02126,-0.929776486,0.029434388,0.043104592,-0.246316,-0.539896,0.791449,1016.55188
1074348,-0.120892,-0.094134,-0.022755,-0.951056516,0.020054796,0.04318898,-0.253222,-0.527708,0.789557,1016.55188
1074448,-0.118758,-0.105053,-0.024564,-0.968583161,0.014741531,0.049289694,-0.258015,-0.515736,0.781143,1016.55188
1074548,-0.118138,-0.112968,-0.028695,-0.982287251,0.009379898,0.054628878,-0.26098,-0.507693,0.781049,1016.55188
1074648,-0.106067,-0.107514,-0.036765,-0.992114701,0.014231531,0.055634184,-0.261336,-0.505829,0.773628,1016.55188
1074748,-0.091727,-0.093566,-0.043789,-0.998026728,0.022669184,0.047077347,-0.258336,-0.4994,0.773959,1016.55188
1074848,-0.078869,-0.090159,-0.05132,-1,0.024059592,0.035752245,-0.260278,-0.491798,0.772341,1016.55188
1074948,-0.073395,-0.098944,-0.057226,-0.998026728,0.025893265,0.03694449,-0.252641,-0.488019,0.764024,1016.55188
1075048,-0.077632,-0.104342,-0.066005,-0.992114701,0.028001633,0.044038367,-0.244124,-0.486539,0.761604,1016.55188
1075148,-0.09306,-0.112512,-0.064982,-0.982287251,0.029452041,0.058829286,-0.23662,-0.484094,0.760234,1016.55188
1075248,-0.113851,-0.120484,-0.060607,-0.968583161,0.036979286,0.066568061,-0.232621,-0.481144,0.759887,1016.55188
1075348,-0.129008,-0.116129,-0.053849,-0.951056516,0.047622551,0.062234286,-0.226526,-0.47796,0.754044,1016.55188
1075448,-0.137127,-0.099922,-0.047375,-0.929776486,0.052895408,0.043387041,-0.225522,-0.478949,0.753494,1016.55188
1075548,-0.143867,-0.089404,-0.046892,-0.904827052,0.052389898,0.027332245,-0.230978,-0.475824,0.752645,1016.55188
1075648,-0.148802,-0.084915,-0.053963,-0.87630668,0.061704388,0.021304592,-0.235391,-0.473093,0.749272,1016.55188
1075748,-0.147524,-0.075847,-0.052129,-0.844327926,0.04098449,0.024940816,-0.240861,-0.472982,0.748771,1016.549561
1075848,-0.146819,-0.071988,-0.041213,-0.809016994,0.035575714,0.03007449,-0.24525,-0.466715,0.744576,1016.549561
1075948,-0.150332,-0.076017,-0.036374,-0.770513243,0.029446531,0.031290204,-0.249191,-0.46257,0.742779,1016.549561
1076048,-0.151254,-0.087812,-0.028667,-0.728968627,0.026569592,0.037446224,-0.246639,-0.459974,0.739907,1016.549561
1076148,-0.152114,-0.093657,-0.027327,-0.684547106,0.033166837,0.036830612,-0.253015,-0.455645,0.735111,1016.549561
