time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
827077,-0.012855,-0.002683,-0.016348,1.006137857,0.099415,0.051080102,-0.261105,-0.040984,1.044844,1016.549011
827177,-0.01481,-0.006874,-0.019637,0.997655714,0.101868776,0.055338061,-0.264582,-0.040406,1.044369,1016.549011
827277,-0.014912,-0.017644,-0.020674,0.993675612,0.107045714,0.055105102,-0.272082,-0.045817,1.045086,1016.549011
827377,-0.021444,-0.021967,-0.020608,0.992152245,0.100938673,0.062576735,-0.272553,-0.046235,1.043561,1016.549011
827477,-0.025281,-0.01489,-0.017652,0.991129898,0.088931837,0.057732653,-0.276539,-0.046669,1.043535,1016.550781
827577,-0.028731,-0.013601,-0.011886,0.995150918,0.08446051,0.059366633,-0.276045,-0.049169,1.043408,1016.550781
827677,-0.029256,-0.002899,-0.008013,1.00718949,0.084130102,0.059882755,-0.279543,-0.050134,1.043856,1016.550781
827777,-0.026784,0.009165,-0.008019,1.008175306,0.086090306,0.061477857,-0.277623,-0.049362,1.047906,1016.550781
827877,-0.023161,0.009081,-0.004534,0.999895612,0.086600306,0.057491224,-0.282665,-0.051918,1.050776,1016.550781
827977,-0.017875,-0.004433,-0.005349,0.988851429,0.089693061,0.055439082,-0.281154,-0.047932,1.05048,1016.550781
828077,-0.008743,-0.015837,-0.007614,0.98895,0.095837857,0.061706735,-0.283659,-0.050906,1.050826,1016.550781
828177,-0.000211,-0.018042,-0.010245,0.988029796,0.100807959,0.05807898,-0.282225,-0.048109,1.054478,1016.550781
828277,0.006252,-0.019908,-0.01122,0.990092041,0.102959694,0.050830408,-0.27823,-0.048148,1.053979,1016.550781
828377,0.011021,-0.026757,-0.008363,0.994290816,0.102652959,0.047222653,-0.276667,-0.050968,1.049829,1016.550781
828477,0.01617,-0.036532,-0.00554,0.996393469,0.100507449,0.049944082,-0.274547,-0.052656,1.042731,1016.550781
828577,0.019991,-0.041853,-0.003865,0.996554388,0.095907347,0.055279286,-0.271469,-0.054456,1.037632,1016.550781
828677,0.022182,-0.039273,-0.002267,0.994233163,0.08667898,0.056260816,-0.270458,-0.056416,1.036531,1016.550781
828777,0.020448,-0.030886,-0.001135,0.992153469,0.078973163,0.058635,-0.268311,-0.058031,1.027934,1016.550781
828877,0.021834,-0.022877,0.000708,0.98827898,0.07640602,0.055304286,-0.265853,-0.061132,1.029281,1016.550781
828977,0.030083,-0.02593,0.002244,0.988587347,0.074833571,0.049097653,-0.265193,-0.063696,1.020133,1016.550781
829077,0.044902,-0.034727,0.006829,0.993437959,0.081842449,0.04724102,-0.265235,-0.066782,1.02198,1016.55011
829177,0.053,-0.043692,0.011838,0.994594592,0.093546327,0.051719796,-0.262739,-0.063832,1.022133,1016.55011
829277,0.053619,-0.049751,0.01382,0.994072653,0.103174796,0.055631735,-0.260608,-0.069457,1.013831,1016.55011
829377,0.04582,-0.051782,0.010195,0.997669184,0.113270816,0.054966224,-0.258133,-0.067552,1.014934,1016.55011
829477,0.035973,-0.053001,0.006035,1.000614388,0.11361602,0.051862347,-0.254683,-0.072661,1.01618,1016.55011
829577,0.033594,-0.047403,0.000917,1.002201735,0.109016939,0.041792143,-0.252653,-0.072597,1.014181,1016.55011
829677,0.03371,-0.040401,-0.001972,1.001926531,0.101951633,0.036939082,-0.251127,-0.075514,1.01203,1016.55011
829777,0.02672,-0.039699,-0.004452,1.001400306,0.097194184,0.040093776,-0.248124,-0.078004,1.010905,1016.55011
829877,0.018523,-0.040656,-0.006856,0.994360204,0.096510102,0.050157245,-0.247177,-0.079635,1.013327,1016.55011
829977,0.010004,-0.044791,-0.012191,0.990504286,0.09524,0.062827245,-0.245653,-0.07859,1.011879,1016.55011
830077,0.005389,-0.045228,-0.017286,0.986234286,0.092077041,0.064657755,-0.247147,-0.078566,1.011879,1016.55011
830177,0.004013,-0.048196,-0.018221,0.988513673,0.089531122,0.06076051,-0.24469,-0.076709,1.013981,1016.55011
830277,0.009979,-0.043109,-0.015602,0.99880449,0.090547041,0.053953571,-0.247192,-0.07769,1.014429,1016.55011
830377,0.026293,-0.031398,-0.010867,0.998425102,0.099143776,0.04481898,-0.244792,-0.076476,1.019504,1016.55011
830477,0.032028,-0.027863,-0.007441,0.990067959,0.100157143,0.036300306,-0.247865,-0.076645,1.024001,1016.55011
830577,0.021507,-0.042328,-0.002543,0.99089051,0.092283265,0.036209796,-0.243863,-0.072698,1.023706,1016.55011
830677,0.016391,-0.056909,-0.00268,0.99387949,0.090054286,0.040274388,-0.245484,-0.071019,1.030804,1016.55011
830777,0.014772,-0.063066,-0.001156,0.99289898,0.096606939,0.045794286,-0.242451,-0.066984,1.029009,1016.55011
830877,0.01126,-0.070802,-0.00287,0.996837347,0.095441429,0.055626939,-0.241018,-0.064685,1.032635,1016.55011
830977,0.01719,-0.072879,-0.002655,1.00065898,0.097434796,0.057707449,-0.237472,-0.063102,1.029714,1016.55011
831077,0.017793,-0.06431,-0.004739,0.999968367,0.10494102,0.051432143,-0.23255,-0.059862,1.033392,1016.55011
831177,0.01836,-0.058584,-0.005954,0.995497347,0.107802143,0.039947449,-0.23161,-0.060022,1.036391,1016.55011
831277,0.015956,-0.054001,-0.005384,0.992892551,0.107630816,0.038144592,-0.230051,-0.054919,1.033647,1016.55011
831377,0.015617,-0.050291,-0.005671,0.994688367,0.105268878,0.040565408,-0.226615,-0.052627,1.036773,1016.55011
831477,0.016189,-0.048342,-0.003586,0.994493163,0.105516429,0.040484796,-0.22404,-0.051952,1.032301,1016.55011
831577,0.01342,-0.053779,-0.001565,0.993878469,0.104566122,0.039904694,-0.221091,-0.053591,1.034225,1016.55011
831677,0.004498,-0.054439,0.002269,0.994834388,0.102583265,0.042734082,-0.221517,-0.054386,1.030176,1016.55011
831777,-0.002786,-0.051867,0.003575,0.996092347,0.098008776,0.043011735,-0.214031,-0.05199,1.029805,1016.55011
831877,-0.006928,-0.05076,0.007935,0.997276429,0.096719898,0.040154898,-0.214896,-0.056595,1.022054,1016.55011
831977,-0.006743,-0.04527,0.008828,0.998137959,0.096079898,0.039244694,-0.213879,-0.055068,1.021131,1016.55011
832077,-0.004783,-0.040818,0.011292,0.998161735,0.100431837,0.039892551,-0.21384,-0.058933,1.018429,1016.55011
832177,-0.002517,-0.035703,0.010509,1.001580714,0.10276,0.04135898,-0.212791,-0.060797,1.015329,1016.55011
832277,0.002976,-0.028063,0.010322,0.998951327,0.10579602,0.043083776,-0.217714,-0.059079,1.012404,1016.55188
832377,0.002965,-0.020547,0.010788,0.999816939,0.105086327,0.046553367,-0.216171,-0.057986,1.009957,1016.55188
832477,-0.002362,-0.01489,0.009047,1.003081122,0.103995204,0.043427041,-0.213214,-0.060098,1.011355,1016.55188
832577,-0.00639,-0.007798,0.008585,1.000121633,0.104617143,0.044206224,-0.214085,-0.062735,1.004205,1016.55188
832677,-0.008558,-0.006213,0.009142,0.998571939,0.105961837,0.042121939,-0.216076,-0.062205,1.00423,1016.55188
832777,-0.008749,-0.000713,0.005231,0.99992551,0.102644184,0.039182449,-0.21692,-0.064769,0.995581,1016.55188
832877,-0.006552,0.003834,0.008908,0.997282959,0.101402959,0.047030408,-0.216013,-0.067991,0.999927,1016.55188
832977,-0.002578,0.012843,0.00919,0.999113061,0.099204286,0.052916531,-0.215001,-0.069454,0.998851,1016.55188
833077,-0.005484,0.025623,0.010707,1.000130918,0.098597347,0.053340102,-0.214433,-0.072258,0.994701,1016.55188
833177,-0.007692,0.03591,0.009077,0.998401224,0.100759388,0.050748571,-0.212035,-0.07204,0.999725,1016.55188
833277,-0.002134,0.03638,0.009435,0.999272449,0.097053163,0.045385,-0.211533,-0.075014,0.999073,1016.55188
833377,0.009278,0.040959,0.006756,1.002315204,0.095252857,0.043102245,-0.211564,-0.077079,1.000471,1016.55188
833477,0.019225,0.053032,0.002942,1.004161939,0.095527245,0.044333469,-0.212621,-0.07474,1.004096,1016.55188
833577,0.017294,0.061317,-0.000783,1.003013163,0.099324898,0.044031122,-0.211644,-0.075303,1.00507,1016.55188
833677,0.009419,0.064352,-0.002046,0.999010714,0.100814082,0.045034184,-0.213168,-0.081306,1.005765,1016.55188
833777,-0.002601,0.062525,-0.003848,0.997605714,0.107142143,0.047101735,-0.212274,-0.07613,1.012042,1016.55188
833877,-0.006343,0.06397,-0.00381,0.993665102,0.113016735,0.051567449,-0.216376,-0.079345,1.017886,1016.55188
833977,-0.008795,0.070655,-0.003379,0.995723571,0.10899051,0.055307755,-0.214344,-0.078284,1.015939,1016.55188
834077,-0.009676,0.077695,-0.002391,0.998856122,0.102179796,0.051228469,-0.215866,-0.077834,1.017463,1016.55188
834177,-0.01203,0.089499,0.000696,1.002012755,0.098544898,0.050684592,-0.218925,-0.075987,1.021562,1016.55188
834277,-0.009784,0.097579,0.003073,1.002261327,0.094215918,0.050474592,-0.221996,-0.07516,1.02611,1016.55188
834377,-0.003012,0.110555,0.002989,0.998803367,0.088250918,0.050343367,-0.222607,-0.070981,1.032836,1016.55188
834477,0.004413,0.117933,0.003652,0.994381224,0.087179694,0.049587959,-0.230126,-0.070982,1.035333,1016.55188
834577,0.010714,0.108912,0.003711,0.989185714,0.091495102,0.04956102,-0.230205,-0.068708,1.039958,1016.55188
834677,0.011832,0.097829,0.005045,0.988401122,0.098862653,0.049378367,-0.236835,-0.066524,1.048579,1016.55188
834777,0.006402,0.088119,0.011647,0.990377857,0.106849694,0.050579286,-0.237867,-0.061148,1.051358,1016.55188
834877,0.004332,0.087315,0.012103,0.990714184,0.10978398,0.052109796,-0.239445,-0.060843,1.055881,1016.55188
834977,0.012073,0.09583,0.016121,0.990521633,0.106674694,0.053632449,-0.242884,-0.054712,1.054185,1016.55188
835077,0.032628,0.099797,0.018802,0.996457449,0.095552959,0.052945918,-0.244895,-0.04977,1.055938,1016.55188
835177,0.0593,0.099557,0.019482,0.99753051,0.078946633,0.056114694,-0.247369,-0.045223,1.055666,1016.55188
835277,0.077443,0.08143,0.013507,0.998302551,0.066386939,0.060176939,-0.251881,-0.045722,1.057139,1016.55188
835377,0.085124,0.061519,0.002318,0.990623878,0.068733367,0.067361122,-0.249926,-0.035933,1.060646,1016.55188
835477,0.086161,0.050068,-0.010112,0.983600204,0.081436531,0.075716224,-0.251966,-0.031064,1.063899,1016.549561
835577,0.091006,0.062474,-0.021444,0.981138878,0.093939592,0.074355408,-0.253523,-0.024756,1.068227,1016.549561
835677,0.106417,0.07754,-0.031441,0.977764796,0.102930408,0.06089,-0.249732,-0.018872,1.079554,1016.549561
