time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
342628,0.032218,-0.129338,0.065163,0.989839388,0.01266949,0.120420306,-0.173915,-0.112706,-0.285977,1016.549011
342728,0.032034,-0.1165,0.066431,0.988659898,0.011170102,0.118584184,-0.17491,-0.111694,-0.285927,1016.549011
342828,0.03392,-0.100103,0.064431,0.985833061,0.01142,0.112991837,-0.171914,-0.107756,-0.285722,1016.549011
342928,0.043266,-0.083837,0.060594,0.984038265,0.007191429,0.109680612,-0.17087,-0.107153,-0.288196,1016.549011
343028,0.052541,-0.066913,0.059121,0.987578061,0.004645408,0.103628571,-0.173387,-0.106189,-0.286646,1016.550781
343128,0.06771,-0.058153,0.05581,0.996843878,0.003457041,0.100948673,-0.171879,-0.103698,-0.287019,1016.550781
343228,0.069609,-0.053904,0.052327,1.007023673,0.00671102,0.092876735,-0.170804,-0.101029,-0.29089,1016.550781
343328,0.062878,-0.067705,0.05043,1.017003776,0.006852857,0.088446837,-0.170754,-0.099414,-0.293313,1016.550781
343428,0.042827,-0.079659,0.050921,1.019834184,0.011593367,0.094365714,-0.16824,-0.096416,-0.294159,1016.550781
343528,0.029606,-0.089217,0.048024,1.019901122,0.013012347,0.102911531,-0.169198,-0.095806,-0.296133,1016.550781
343628,0.027978,-0.089134,0.042562,1.024827245,0.013648061,0.11362102,-0.165649,-0.092229,-0.298953,1016.550781
343728,0.028202,-0.05838,0.036468,1.026199184,0.002731837,0.112773673,-0.16414,-0.094198,-0.300054,1016.550781
343828,0.027009,-0.026883,0.032474,1.019271633,-0.011675102,0.104437245,-0.16408,-0.09206,-0.302951,1016.550781
343928,0.027477,-0.020228,0.034592,1.010665918,-0.020654184,0.099189796,-0.160095,-0.092123,-0.30295,1016.550781
344028,0.038879,-0.028699,0.036215,1.003914184,-0.025361429,0.09839398,-0.160594,-0.092614,-0.302975,1016.550781
344128,0.046649,-0.04301,0.040815,0.997838469,-0.023863571,0.096398571,-0.15454,-0.091021,-0.306896,1016.550781
344228,0.053929,-0.051956,0.045989,0.990222959,-0.020026122,0.092460714,-0.151014,-0.089984,-0.308843,1016.550781
344328,0.053372,-0.059746,0.045662,0.980680408,-0.014766633,0.087231224,-0.150969,-0.09086,-0.311393,1016.550781
344428,0.049227,-0.060203,0.043107,0.972421633,-0.01198,0.082519286,-0.148472,-0.09237,-0.311968,1016.550781
344528,0.04124,-0.060011,0.040157,0.966763776,-0.006258571,0.079488367,-0.146016,-0.091011,-0.309892,1016.550781
344628,0.038374,-0.043016,0.032122,0.964282143,-0.008767449,0.077263265,-0.143441,-0.090336,-0.314364,1016.55011
344728,0.034435,-0.03542,0.026857,0.966275204,-0.013930408,0.072222347,-0.140902,-0.089258,-0.316812,1016.55011
344828,0.026531,-0.033872,0.024194,0.972693571,-0.019092347,0.070477857,-0.141353,-0.08913,-0.319311,1016.55011
344928,0.011998,-0.040895,0.025539,0.979722041,-0.022367857,0.072693265,-0.140838,-0.090086,-0.320361,1016.55011
345028,-0.006317,-0.05202,0.031894,0.985459898,-0.026584388,0.074223061,-0.135792,-0.089997,-0.323858,1016.55011
345128,-0.021289,-0.058129,0.037288,0.990894286,-0.0257,0.076484286,-0.133297,-0.087545,-0.32373,1016.55011
345228,-0.028006,-0.049535,0.040237,1.001022245,-0.021406327,0.076025408,-0.130777,-0.087014,-0.325203,1016.55011
345328,-0.027982,-0.020277,0.037997,1.021986327,-0.017615,0.077361122,-0.130192,-0.084812,-0.3296,1016.55011
345428,-0.031329,0.004749,0.037097,1.040649898,-0.016025102,0.07226,-0.126177,-0.083807,-0.331047,1016.55011
345528,-0.038372,0.012758,0.037468,1.05079898,-0.015494796,0.067818776,-0.125658,-0.082272,-0.331971,1016.55011
345628,-0.047659,0.006176,0.041058,1.049137959,-0.012469694,0.07183051,-0.125064,-0.080544,-0.336892,1016.55011
345728,-0.058918,-0.004846,0.039432,1.039098776,-0.009319898,0.075513061,-0.123041,-0.079009,-0.338315,1016.55011
345828,-0.069313,-0.015164,0.037032,1.022103163,-0.001687551,0.079806224,-0.125534,-0.080464,-0.338392,1016.55011
345928,-0.072174,-0.029009,0.026091,0.997449388,0.006253265,0.080103673,-0.1276,-0.074671,-0.333589,1016.55011
346028,-0.066147,-0.046689,0.015138,0.976715,0.006033061,0.07541898,-0.126591,-0.078126,-0.334767,1016.55011
346128,-0.055836,-0.071568,0.00493,0.963956633,0.003620918,0.070696327,-0.12905,-0.076021,-0.336165,1016.55011
346228,-0.048437,-0.091499,-0.00245,0.955656122,-0.006632857,0.07186898,-0.12856,-0.075057,-0.335614,1016.55011
346328,-0.045152,-0.099417,-0.00569,0.953066837,-0.021408265,0.070863367,-0.131487,-0.071377,-0.338436,1016.55011
346428,-0.048631,-0.096733,-0.000151,0.959728061,-0.036195,0.074325408,-0.129414,-0.068227,-0.342282,1016.55011
346528,-0.032574,-0.081101,0.007478,0.973836429,-0.047367347,0.074356224,-0.128829,-0.066523,-0.346704,1016.55011
